,Missing Values,% of Total Values
Fuel Oil #1 Use (kBtu),11737,99.9
Diesel #2 Use (kBtu),11730,99.9
Address 2,11539,98.2
Fuel Oil #5 & 6 Use (kBtu),11152,94.9
District Steam Use (kBtu),10810,92
Fuel Oil #4 Use (kBtu),10425,88.8
3rd Largest Property Use Type - Gross Floor Area (ft²),10262,87.4
3rd Largest Property Use Type,10262,87.4
Fuel Oil #2 Use (kBtu),9165,78
2nd Largest Property Use Type,8005,68.2
2nd Largest Property Use - Gross Floor Area (ft²),8005,68.2
Metered Areas (Water),4609,39.2
Water Intensity (All Water Sources) (gal/ft²),3984,33.9
Water Use (All Water Sources) (kgal),3984,33.9
Latitude,2263,19.3
Longitude,2263,19.3
Community Board,2263,19.3
Council District,2263,19.3
Census Tract,2263,19.3
NTA,2263,19.3
ENERGY STAR Score,2104,17.9
Weather Normalized Site Natural Gas Intensity (therms/ft²),1963,16.7
Weather Normalized Site Natural Gas Use (therms),1962,16.7
Weather Normalized Source EUI (kBtu/ft²),1465,12.5
Weather Normalized Site EUI (kBtu/ft²),1465,12.5
Natural Gas Use (kBtu),1442,12.3
Weather Normalized Site Electricity Intensity (kWh/ft²),787,6.7
Weather Normalized Site Electricity (kWh),786,6.7
Electricity Use - Grid Purchase (kBtu),244,2.1
Site EUI (kBtu/ft²),163,1.4
Source EUI (kBtu/ft²),163,1.4
NYC Building Identification Number (BIN),162,1.4
Street Number,124,1.1
Street Name,122,1
Borough,118,1
DOF Gross Floor Area,118,1
Water Required?,118,1
Direct GHG Emissions (Metric Tons CO2e),83,0.7
Total GHG Emissions (Metric Tons CO2e),74,0.6
Indirect GHG Emissions (Metric Tons CO2e),65,0.6
Metered Areas (Energy),57,0.5
DOF Benchmarking Submission Status,30,0.3
"NYC Borough, Block and Lot (BBL) self-reported",11,0.1
BBL - 10 digits,11,0.1
Largest Property Use Type,2,0
Largest Property Use Type - Gross Floor Area (ft²),2,0
